Status do Arquivo: Final,,,,,
RptDt,TckrSymb,MktNm,SctyCtgyNm,ISIN,CrpnNm
2024-09-06,003H11,EQUITY-CASH,FUNDS,BR003HCTF006,KINEA CO-INVESTIMENTO FDO INV IMOB
2024-09-06,0FEA11,EQUITY-CASH,FUNDS,BR0FEACTF006,SPIM FUNDO DE INVESTIMENTO IMOBILIÁRIO
2024-09-06,2WAV3,EQUITY-CASH,SHARES,BR2WAVACNOR8,2W ECOBANK S.A.
2024-09-06,A1AP34,EQUITY-CASH,BDR,BRA1APBDR001,ADVANCE AUTO PARTS INC
2024-09-06,A1AP34M,EQUITY-CASH,BDR,BRA1APBDR001,ADVANCE AUTO PARTS INC
2024-09-06,A1AP34Q,EQUITY-CASH,BDR,BRA1APBDR001,ADVANCE AUTO PARTS INC
2024-09-06,A1AP34R,EQUITY-CASH,BDR,BRA1APBDR001,ADVANCE AUTO PARTS INC
2024-09-06,A1CR34,EQUITY-CASH,BDR,BRA1CRBDR003,AMCOR PLC
2024-09-06,A1CR34M,EQUITY-CASH,BDR,BRA1CRBDR003,AMCOR PLC
2024-09-06,A1CR34Q,EQUITY-CASH,BDR,BRA1CRBDR003,AMCOR PLC
2024-09-06,A1CR34R,EQUITY-CASH,BDR,BRA1CRBDR003,AMCOR PLC
2024-09-06,A1DI34,EQUITY-CASH,BDR,BRA1DIBDR000,ANALOG DEVICES INC
2024-09-06,A1DM34,EQUITY-CASH,BDR,BRA1DMBDR002,ARCHER-DANIELS-MIDLAND CO
2024-09-06,A1DM34M,EQUITY-CASH,BDR,BRA1DMBDR002,ARCHER-DANIELS-MIDLAND CO
2024-09-06,A1DM34Q,EQUITY-CASH,BDR,BRA1DMBDR002,ARCHER-DANIELS-MIDLAND CO
2024-09-06,A1DM34R,EQUITY-CASH,BDR,BRA1DMBDR002,ARCHER-DANIELS-MIDLAND CO
2024-09-06,A1EE34,EQUITY-CASH,BDR,BRA1EEBDR007,AMEREN CORP
2024-09-06,A1EG34,EQUITY-CASH,BDR,BRA1EGBDR002,AEGON LTD.